Name,Age,Birth Year,Origin,Height,Weight,Category,Wins,Losses,Special Skills,Weapon of Choice,Patron Wealth,Equipment Quality,Public Favor,Injury History,Mental Resilience,Diet and Nutrition,Tactical Knowledge,Allegiance Network,Battle Experience,Psychological Profile,Health Status,Personal Motivation,Previous Occupation,Training Intensity,Battle Strategy,Social Standing,Crowd Appeal Techniques,Survived
Cosconius Hostius,42,8,Gaul,176,54,Hoplomachus,10,2,Novice,Spear,Low,Basic,0.745250158,Low,2.309622406,Poor,Basic,Strong,12,Stoic,Good,Glory,Laborer,Medium,Balanced,Low,Flamboyant,TRUE
Caecilius Valerius,30,20,Greece,173,67,Provocator,6,0,Agility,Dagger,High,Superior,0.570122221,Low,2.609512043,Excellent,Expert,Strong,6,Aggressive,Excellent,Freedom,Laborer,Medium,Aggressive,High,Intimidating,FALSE
Sempronius Aulus,30,20,Gaul,171,81,Hoplomachus,8,4,Endurance,Spear,Low,Basic,0.605398154,Low,8.770731237,Poor,Advanced,Moderate,12,Calculative,Excellent,Wealth,Unemployed,Medium,Balanced,Medium,Charismatic,TRUE
Lacerius Laberius,32,18,Rome,172,72,Retiarius,8,3,Novice,Net,High,Superior,0.616190115,Low,1.047568349,Excellent,Intermediate,Strong,11,Stoic,Excellent,Freedom,Unemployed,Medium,Aggressive,High,Humble,TRUE
Blaesus Modius,29,21,Gaul,177,87,Secutor,12,5,Tactics,Dagger,Medium,Standard,0.645755969,High,4.524768751,Adequate,Advanced,Moderate,17,Stoic,Good,Survival,Entertainer,Medium,Balanced,Medium,Humble,TRUE
Hortensius Gaius,23,27,Gaul,158,77,Murmillo,7,1,Speed,Gladius (Sword),Low,Basic,0.57297522,Low,7.885910509,Poor,Expert,Moderate,8,Fearful,Excellent,Wealth,Soldier,Medium,Aggressive,Medium,Intimidating,TRUE
Lollius Nasennius,43,7,Greece,168,74,Hoplomachus,7,1,Agility,Dagger,Low,Basic,0.670519446,Low,3.026550787,Poor,Advanced,Moderate,8,Stoic,Good,Vengeance,Unemployed,Low,Aggressive,Low,Intimidating,TRUE
Gaius Caninius,36,14,Rome,185,62,Secutor,13,8,Novice,Dagger,High,Superior,0.656334925,High,2.772185299,Excellent,Intermediate,Strong,21,Fearful,Good,Wealth,Unemployed,Low,Balanced,Medium,Intimidating,TRUE
Petreius Memmius,33,17,Thrace,186,50,Provocator,7,0,Strength,Dagger,Low,Basic,0.841853098,Low,8.687004115,Poor,Advanced,Strong,7,Stoic,Excellent,Wealth,Entertainer,Medium,Aggressive,High,Intimidating,TRUE
Numerius Sextus,32,18,Greece,171,56,Provocator,8,1,Tactics,Gladius (Sword),High,Superior,0.782842156,Low,6.284512916,Excellent,Advanced,Strong,9,Fearful,Excellent,Wealth,Criminal,Medium,Defensive,High,Charismatic,TRUE
Fulcinia Fidenas,40,10,Gaul,184,84,Hoplomachus,5,2,Novice,Spear,Low,Basic,0.55144071,Low,6.811896226,Poor,Intermediate,Moderate,7,Calculative,Good,Wealth,Laborer,Medium,Balanced,Medium,Intimidating,TRUE
Cominius Calventius,44,6,Numidia,175,72,Murmillo,10,4,Novice,Dagger,Medium,Standard,0.657956757,Low,1.271144409,Adequate,Basic,Moderate,14,Calculative,Good,Vengeance,Entertainer,Low,Aggressive,Low,Charismatic,TRUE
Fidenas Avidius,22,28,Rome,183,119,Secutor,5,1,Novice,Gladius (Sword),Medium,Standard,0.600757889,Low,2.095360044,Adequate,Intermediate,Moderate,6,Aggressive,Excellent,Vengeance,Criminal,Medium,Balanced,Medium,Intimidating,TRUE
Naevius Cornificius,23,27,Thrace,192,68,Murmillo,8,3,Agility,Gladius (Sword),High,Superior,0.647621822,Low,10.59200506,Excellent,Advanced,Strong,11,Fearful,Excellent,Glory,Soldier,Medium,Balanced,Low,Charismatic,TRUE
Livius Duronius,43,7,Greece,182,94,Retiarius,10,4,Novice,Net,High,Superior,0.667208974,Low,5.022369247,Excellent,Basic,Strong,14,Stoic,Good,Vengeance,Unemployed,Medium,Balanced,High,Charismatic,TRUE
